ID,NOMBRE,PRECIO,PAGINA,COLUMNA
1,"MIX TROPICAL x 2.5 kg",24.162,21,1,IZQ
2,"MIX TROPICAL x 1 Kg",10.134,65,1,IZQ
3,"MIX TROPICAL x 5 Kg",46.101,61,1,IZQ
4,"MIX FRUT. SECOS ECONOMICO x 5 kg",29.171,94,1,IZQ
5,"MIX FRUT. SECOS ECONOMICO x 1 kg",6.582,73,1,IZQ
6,"MIX FRUT. SECOS ECONOMICO x 2,5 kg",15.328,21,1,IZQ
7,"MIX PREMIUM S/MANI S/PASAS x 5 kg",99.484,68,1,IZQ
8,"MIX PREMIUM S/MANI S/PASAS x 1 kg",21.965,63,1,IZQ
9,"MIX PREMIUM S/MANI S/PASAS x 2,5 kg",52.013,67,1,IZQ
10,"MIX FRUT. SECOS CLASICO x 2,5",27.326,46,1,IZQ
11,"MIX FRUT. SECOS CLASICO x 1 kg",11.453,42,1,IZQ
12,"MIX FRUT. SECOS CLASICO x 5 kg",52.167,60,1,IZQ
13,"MIX DE ARANDANOS x 2.5 kg",22.894,70,1,IZQ
14,"MIX DE ARANDANOS x 1 kg",9.606,76,1,IZQ
15,"MIX ARANDANOS x 5 kg",43.678,80,1,IZQ
16,"MIX DE FRUTOS SECOS SIN PASAS x 2,5 kg",27.642,89,1,IZQ
17,"MIX DE FRUTOS SECOS SIN PASAS x 1 kg",11.585,22,1,IZQ
18,"MIX DE FRUTOS SECOS SIN PASAS x 5 kg",52.778,55,1,IZQ
19,"MIX DE FRUTOS SECOS C/ PASA Y MANI x1kg",9.343,20,1,IZQ
20,"MIX DE FRUTOS SECOS C/PASA Y MANI x2.5k",22.261,91,1,IZQ
21,"MIX DE FRUTOS SECOS C/PASA Y MANI x 5kg",42.465,49,1,IZQ
22,"AVENA TRADICIONAL tres arroyos x 30 kg",40.905,55,1,IZQ
23,"AVENA TRADICIONAL x 5 KG",7.426,13,1,IZQ
24,"AVENA INSTANTANEA tres arroyos x 30 Kg",42.214,99,1,IZQ
25,"AVENA INSTANTANEA x 5 KG",7.682,45,1,IZQ
26,"AVENA INSTANTANEA x 25 Kg",1.624,00,1,IZQ
27,"AVENA GRUESA x 5 kg",7.426,13,1,IZQ
28,"AVENA GRUESA tres arroyos x 30 kg",40.785,42,1,IZQ
29,"SALVADO DE AVENA x 25 kg",37.690,48,1,IZQ
30,"SALVADO DE AVENA x 5 kg",8.433,93,1,IZQ
31,"BARRITAS MUECAS cacao y avellana x 16u",17.268,94,1,IZQ
32,"BARRITAS MUECAS manzana y arandano x 16u",17.268,94,1,IZQ
33,"BARRITAS MUECAS pasas y almendras x 16u",17.268,94,1,IZQ
34,"BARRITAS MUECAS sin azucar x 16u",17.268,94,1,IZQ
35,"BARRITAS MUECAS banana y dul leche x 16u",17.268,94,1,IZQ
36,"PONT BARRITA PROTEICA VEGETAL x 12u",23.502,56,1,IZQ
37,"MACA -BLANCA- PERUANA kallpa x 500 gr",1.393,74,1,DER
38,"MACA NEGRA PERUANA x 150 gr",1.292,28,1,DER
39,"HARINA DE COCA + MACA x 90 Gr.",590,54,1,DER
40,"CARTILAGO DE TIBURON x 90 Gr.",590,54,1,DER
41,"HARINA DE CANNABIS SATIVA x 90gr",590,54,1,DER
42,"COLAGENO HIDROLIZADO x 90 gr",590,54,1,DER
43,"SPIRULINA + MACA x 90 gr",590,54,1,DER
